id,title,genres,overview,release_date,vote_average,vote_count,title_normalized
1321439,The Wrong Paris,"['Romance', 'Comedy']","Dawn thinks she's joining a dating show in Paris, France, only to land in Paris, Texas. She has an exit plan — until sparks fly with the cowboy bachelor.",2025-09-11,6.702,94,the wrong paris
617126,The Fantastic 4: First Steps,"['Science Fiction', 'Adventure']","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",2025-07-23,7.181,1230,the fantastic 4: first steps
1151334,Eenie Meanie,"['Thriller', 'Action', 'Comedy']",A former teenage getaway driver gets dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable ex-boyfriend.,2025-08-21,6.385,191,eenie meanie
13494,Red Sonja,"['Adventure', 'Action', 'Fantasy']",A young girl rises from the ashes of tragedy to become the most feared warrior woman of all time: the She-Devil with a Sword.,2025-07-31,5.7,90,red sonja
1188808,Tuhog,"['Drama', 'Romance']","Abie mourns after the death of Michael. She finds solace from her supposedly soon-to-be father-in-law, Roldan, and starts falling for him. But when Michael returns, their world turns upside down.",2023-11-03,5.583,12,tuhog
1382406,Striking Rescue,"['Action', 'Crime', 'Thriller']",A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.,2024-12-05,7.6,116,striking rescue
552524,Lilo & Stitch,"['Family', 'Science Fiction', 'Comedy', 'Adventure']",The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,2025-05-17,7.3,1606,lilo & stitch
604079,The Long Walk,"['Horror', 'Thriller', 'Science Fiction']","In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",2025-09-10,7.2,94,the long walk
541671,Ballerina,"['Action', 'Thriller', 'Crime']","Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",2025-06-04,7.373,1650,ballerina
1506456,Maalikaya,"['Drama', 'Romance']","Kara, a young inmate who unleashes her hidden sexual fantasies while serving time. After meeting Lila, a seductive inmate played by Jenn Rosa, Kara finds a new purpose in life. But her dark past still haunts her even behind bars.",2025-07-25,7.8,5,maalikaya
138843,The Conjuring,"['Horror', 'Thriller']","Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",2013-07-18,7.541,12169,the conjuring
980477,Ne Zha 2,"['Animation', 'Fantasy', 'Adventure', 'Action']","After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",2025-01-29,8.0,360,ne zha 2
1242434,Highest 2 Lowest,"['Thriller', 'Crime', 'Drama']","When a titan music mogul, widely known as having the ""best ears in the business"", is targeted with a ransom plot, he is jammed up in a life-or-death moral dilemma.",2025-08-14,5.816,228,highest 2 lowest
1022787,Elio,"['Animation', 'Family', 'Comedy', 'Adventure', 'Science Fiction']","Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",2025-06-18,6.92,446,elio
1530127,Lookout,"['Thriller', 'Science Fiction', 'Horror']","Seeking peace away from her turbulent life, a young woman accepts a job as a fire lookout at a remote wilderness tower. As she settles into her new role, eerie disturbances and strange occurrences begin to unfold, and she must uncover the chilling secrets that disrupt her isolation before it’s too late.",2025-09-02,6.4,5,lookout
1252428,Anaconda,"['Adventure', 'Horror', 'Thriller']","A struggling circus crew gets deceived by its former partner, as it embarks on a tour in Thailand. During the journey through a Southeast Asian rainforest, they encounter attacks by a giant python. They meet a mysterious man named Jeff who offers to help, but they soon realize he's a poacher. As they search for Jeff's boat, they face life-and-death struggles with the python and Jeff himself.",2024-03-01,7.2,97,anaconda
1125257,Freakier Friday,"['Comedy', 'Fantasy', 'Family']","Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",2025-08-06,6.849,175,freakier friday
660033,How I Became a Gangster,"['Crime', 'Action']","The action of the film begins in the 1970s – even then, the young protagonist knows that adrenaline tastes better than powdered milk. Over time, he also discovers a desire for money, power, and being above the law. A transformation begins, and his gangster talent blossoms. Together with a friend, they build their own army.",2019-12-25,7.0,112,how i became a gangster
993234,Borders of Love,"['Drama', 'Romance']","After years together, Petr and Hana, partners in work and in life, share their unspoken erotic fantasies. What begins as an innocent conversation gradually turns into curious experimentation with a non-monogamous approach to their relationship. But sexual freedom tastes differently for each of them.",2022-11-03,6.1,27,borders of love
1367575,A Line of Fire,"['Action', 'Thriller']","After working as a secret agent in the FBI for ten years, Jack 'Cash' Conry left it all behind after his wife passed in order to dedicate himself to his two daughters. Despite a fulfilling life at home, Cash misses the chance to make an impact and has been considering a return to the force. The decision is made for him when his old partner’s niece Jamie calls him for help, launching Cash right back into a world of danger, corruption and intrigue.",2025-04-05,6.333,36,a line of fire
1284120,The Ugly Stepsister,"['Horror', 'Comedy', 'Fantasy', 'Drama']","In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",2025-03-07,7.213,382,the ugly stepsister
